Time (s),x,y,z,,timestamps
0.675109462,-1.944091797,-1.455674648,3.97676897,675.109462,675109.462
0.677108628,-2.104503393,-1.570596337,4.38617754,677.108628,677108.628
0.679108661,-2.240972757,-1.659181833,4.809951305,679.108661,679108.661
0.681108694,-2.312798738,-1.912967205,5.032911301,681.108694,681108.694
0.683108727,-2.430114746,-2.214636564,5.535693645,683.108727,683108.727
0.68510876,-2.391807556,-2.597708941,6.081571579,685.10876,685108.76
0.687108793,-2.346317768,-2.806004286,6.337751389,687.108793,687108.793
0.689108793,-2.169146776,-3.23456645,6.833351135,689.108793,689108.793
0.691109659,-1.754949808,-3.64158082,7.209240437,691.109659,691109.659
0.693110525,-1.611297727,-3.79480958,7.266701221,693.110525,693110.525
0.695111391,-1.673547029,-3.933673382,7.08234787,695.111391,695111.391
0.697112257,-1.750161409,-3.907337189,6.670545101,697.112257,697112.257
0.699112657,-1.687912226,-3.833117008,6.452672958,699.112657,699112.657
0.701112657,-1.453280449,-3.620033026,6.007351398,701.112657,701112.657
0.703111723,-1.295263171,-3.38300705,5.614702225,703.111723,703111.723
0.705111689,-1.312022567,-3.282450438,5.411195278,705.111689,705111.689
0.707112322,-1.460463047,-3.105279684,4.977844715,707.112322,707112.322
0.709112288,-1.63523972,-2.947262287,4.584896088,709.112288,709112.288
0.711111388,-1.70946002,-2.8993783,4.398148537,711.111388,711111.388
0.713110488,-1.807622313,-2.782062292,4.067748547,713.110488,713110.488
0.715109588,-1.853112102,-2.724601507,3.835511208,715.109588,715109.588
0.717108688,-1.869871497,-2.71502471,3.749319792,717.108688,717108.688
0.719107821,-1.889025092,-2.710236311,3.651157618,719.107821,719107.821
0.721107854,-1.793257117,-2.748543501,3.600879431,721.107854,721107.854
0.723108687,-1.680729628,-2.779668093,3.593696833,723.108687,723108.687
0.72510872,-1.33835876,-2.86107111,3.548206806,725.10872,725108.72
0.727108753,-0.825999558,-2.947262287,3.414131641,727.108753,727108.753
0.729108753,-0.210689753,-3.028665066,3.23456645,729.108753,729108.753
0.731109653,0.088585466,-3.095702887,3.117250681,731.109653,731109.653
0.733110519,0.636857629,-3.236960649,2.870647907,733.110519,733110.519
0.735111385,1.130063176,-3.406949043,2.657563925,735.111385,735111.385
0.737112218,1.345541358,-3.512293816,2.554613113,737.112218,737112.218
0.739112184,1.790862918,-3.722983599,2.396595955,739.112184,739112.184
0.74111215,2.26730895,-3.936067581,2.324769735,741.11215,741112.15
0.743112116,2.518700123,-4.060565948,2.30561614,743.112116,743112.116
0.745112082,3.071760893,-4.264073372,2.23139596,745.112082,745112.082
0.747112048,3.849876404,-4.458003521,1.745373011,747.112048,747112.048
0.749112048,4.362235546,-4.57531929,1.285686255,749.112048,749112.048
0.751111181,5.645826817,-4.879383087,-0.426167905,751.111181,751111.181
0.753111214,6.689698696,-5.241206646,-2.633621931,753.111214,753111.214
0.755111247,7.00573349,-5.415983677,-3.363853455,755.111247,755111.247
0.75711128,7.29782629,-5.736806393,-3.550601006,757.11128,757111.28
0.759111313,7.343316078,-6.083965778,-2.8969841,759.111313,759111.313
0.761111346,7.302614689,-6.256348133,-2.571372509,761.111346,761111.346
0.763112279,7.11826086,-6.490980148,-1.920149803,763.112279,763112.279
0.765112312,6.809409142,-6.543652534,-0.888248801,765.112312,765112.312
0.767111645,6.608295918,-6.536469936,-0.272938997,767.111645,767111.645
0.769111645,6.158185959,-6.543652534,0.878672004,769.111645,769111.645
0.771112511,5.602731228,-6.577171326,1.702277422,771.112511,771112.511
0.773113377,5.310638428,-6.56041193,2.00873518,773.113377,773113.377
0.775114243,4.673481941,-6.471826553,2.480392933,775.114243,775114.243
0.777115109,3.957615376,-6.325780392,2.726995707,777.115109,777115.109
0.779115975,3.600879431,-6.246771336,2.801215887,779.115975,779115.975
0.781115941,2.944868088,-6.098330975,2.959233284,781.115941,781115.941
0.783115107,2.487575531,-5.906795025,3.208230257,783.115107,783115.107
0.785115073,2.260126352,-5.811026573,3.620033026,785.115073,785115.073
0.787115039,2.219424963,-5.612308025,3.866635799,787.115039,787115.039
